요즘 시장 전체적으로 분위기 어때?	macro_view
지금 증시가 상승장인지 하락장인지 어떻게 봐?	macro_view
현재 경기 사이클이 어느 구간쯤이라고 생각해?	macro_view
지금 같은 장에서는 현금 비중 얼마나 들고 가는 게 좋아?	macro_view
요즘은 주식보다 현금 많이 들고 있는 게 맞아?	macro_view
시장 전반 리스크 큰 편이야, 아니면 들어가도 되는 구간이야?	macro_view
지금 매크로 상황 보면 공격적으로 투자해도 될까?	macro_view
현재는 방어적으로 가야 하는 장세야?	macro_view
미국 경기 침체 가능성 지금 높아 보여?	macro_view
요즘 경기 확장 국면이야 아니면 둔화 구간이야?	macro_view
지금 시장을 한마디로 보면 어떤 국면이야?	macro_view
금리차 보면 경기 신호가 안 좋은 거 맞아?	macro_view
장단기 금리차 지금 어떻게 해석해야 돼?	macro_view
수익률곡선 역전이 아직도 위험 신호로 봐야 해?	macro_view
금리차 정상화됐다고 안심해도 되는 거야?	macro_view
2년물 10년물 금리차로 지금 시장 판단하면 어때?	macro_view
채권 금리 움직임 기준으로 보면 지금 주식시장 위험해?	macro_view
요즘 금리 레벨 감안하면 증시 밸류 부담 큰 편이야?	macro_view
실질금리 높은 상황이면 주식시장에 불리한 거지?	macro_view
금리 인하 기대감이 지금 시장에 이미 반영된 것 같아?	macro_view
연준 스탠스 기준으로 보면 지금 위험자산에 우호적이야?	macro_view
요즘 물가랑 금리 흐름 보면 시장에 좋은 환경이야?	macro_view
매크로 지표들 종합하면 지금은 매수 타이밍이야 관망 타이밍이야?	macro_view
지금 경기랑 유동성 상황 같이 보면 현금 비중 늘려야 해?	macro_view
요즘 같은 때는 포트폴리오에서 현금 어느 정도가 적당해?	macro_view
내가 지금 현금 50% 들고 있는데 너무 보수적인가?	macro_view
현재 시장에서는 현금 비중 낮추는 게 맞아 높이는 게 맞아?	macro_view
지금 들어갈 돈 남겨두는 게 중요해 보여?	macro_view
증시 전반적으로 과열이야 아니면 아직 여유 있어?	macro_view
시장 심리 지금 탐욕 쪽이야 공포 쪽이야?	macro_view
공포탐욕지수 기준으로 지금 분위기 어때?	macro_view
지금 공포탐욕지수가 높으면 조심해야 해?	macro_view
요즘 투자심리 많이 과열된 상태야?	macro_view
시장이 지나치게 겁먹은 상태인지 알고 싶어	macro_view
VIX 지금 수준이면 시장이 불안한 거야?	macro_view
변동성지수 보면 아직 리스크 큰 편이야?	macro_view
VIX 낮으면 그냥 안심해도 되는 거야?	macro_view
요즘 VIX 흐름상 시장 급락 대비해야 할까?	macro_view
변동성 기준으로 보면 지금은 진입하기 무난한 장이야?	macro_view
시장 공포 심리 많이 누그러졌어?	macro_view
지금은 패닉장이라고 볼 정도는 아니지?	macro_view
현재 매크로로 보면 미국장이 추가 상승 여력 있어 보여?	macro_view
전반적인 경제 상황 감안하면 주식 비중 줄여야 하나?	macro_view
지금 같은 국면에선 성장주보다 현금이 나아?	macro_view
시장 전체 방향성 지금 우상향으로 봐도 돼?	macro_view
요즘 경기 선행지표들 보면 바닥 지난 것 같아?	macro_view
경기침체 우려가 실제 시장에 얼마나 반영된 상태야?	macro_view
지금은 리스크온 장세야 리스크오프 장세야?	macro_view
거시경제만 놓고 보면 지금 투자하기 편한 환경이야?	macro_view
매크로 기준으로 지금 가장 경계해야 할 신호가 뭐야?	macro_view
요즘 장은 악재보다 호재에 더 민감한 분위기야?	macro_view
현재 시장 체력 괜찮다고 봐?	macro_view
지금 전체적으로 보면 버블 걱정할 단계야?	macro_view
금리, 물가, 변동성 다 합쳐서 지금 시장 점수 매기면 몇 점이야?	macro_view
현 시점에서 현금 보유 메리트가 큰 편이야?	macro_view
지금은 매크로상 분할매수 시작해볼 만한 구간이야?	macro_view
요즘 장세를 초보 투자자가 버티기 쉬운 환경으로 봐?	macro_view
현재 시장은 경기민감주가 유리한 국면이야?	macro_view
거시지표상 아직 한 번 더 흔들릴 가능성 커 보여?	macro_view
전반적인 시장 컨디션 지금 건강한 편이야 아니면 불안한 편이야?	macro_view
삼성전자 지금 들어가도 괜찮을까? 종목 분석 좀 해줘.	stock_analysis
005930 오늘 기준으로 밸류에이션 어떤 편이야?	stock_analysis
하이닉스 실적 대비 지금 주가 비싼지 싼지 봐줄래?	stock_analysis
네이버 주가 흐름이 왜 이런지 분석해줘.	stock_analysis
카카오 요즘 차트상으로 반등 신호 있는지 궁금해.	stock_analysis
현대차 지금 매수 타이밍인지 기술적으로 봐줘.	stock_analysis
LG에너지솔루션 적정주가 어느 정도로 봐야 해?	stock_analysis
포스코홀딩스 실적이 주가에 충분히 반영된 걸까?	stock_analysis
셀트리온 최근 재무 상태랑 투자 매력 같이 분석해줘.	stock_analysis
엔비디아 말고 국내 반도체주 중에 삼성전자 펀더멘털 어떤지 알려줘.	stock_analysis
삼성바이오로직스 고평가인지 아닌지 PER 기준으로 설명해줘.	stock_analysis
기아 주가 차트 보면 단기 추세 살아있어?	stock_analysis
에코프로 지금 너무 오른 거야 아니면 더 갈 여력이 있어?	stock_analysis
두산로보틱스 실적 대비 현재 시총이 적정한지 궁금해.	stock_analysis
한화에어로스페이스 이 종목 장기투자 관점에서 괜찮아 보여?	stock_analysis
SK이노베이션 배터리 사업 반영해서 기업가치 어떻게 봐야 해?	stock_analysis
크래프톤 실적 발표 후 주가 방향성 어떻게 해석하면 될까?	stock_analysis
아모레퍼시픽 요즘 부진한데 턴어라운드 가능성 분석해줘.	stock_analysis
대한항공 유가랑 환율 반영하면 지금 주가 메리트 있어?	stock_analysis
롯데케미칼 업황 바닥 찍은 건지 종목 분석 부탁해.	stock_analysis
삼성SDI 경쟁사 대비 밸류에이션 매력 있는 편이야?	stock_analysis
LG화학 배터리 제외하면 본업 기준으로 주가 어떤지 봐줘.	stock_analysis
한국전력 적자 구조 감안해도 투자할 만한 종목이야?	stock_analysis
KT 배당 생각하면 지금 가격 괜찮은지 분석해줘.	stock_analysis
POSCO홀딩스랑 현대제철 비교해서 포스코가 더 나은 이유가 있어?	stock_analysis
삼성물산 숨은 가치까지 포함하면 저평가 맞아?	stock_analysis
카카오뱅크 성장성 대비 현재 주가 수준 적절해?	stock_analysis
JYP Ent. 실적하고 팬덤 성장 고려하면 더 오를까?	stock_analysis
하이브 최근 조정받는 이유랑 기술적 지지선 좀 봐줘.	stock_analysis
NAVER 광고 회복 감안하면 올해 이익 전망 괜찮아?	stock_analysis
현대모비스 부품주로서 지금 저평가 구간인지 궁금해.	stock_analysis
DB하이텍 파운드리 업황 기준으로 분석해줄 수 있어?	stock_analysis
한미반도체 지금 차트상 과열인지 체크해줘.	stock_analysis
LS ELECTRIC 실적 성장 계속될지랑 적정 밸류 알려줘.	stock_analysis
CJ제일제당 음식료주 중에서 투자 매력 어떤 편이야?	stock_analysis
오리온은 방어주로 보기 괜찮아? 실적도 같이 봐줘.	stock_analysis
펄어비스 신작 기대감이 주가에 얼마나 반영됐는지 분석해줘.	stock_analysis
알테오젠 바이오주 치고 지금 밸류 부담 심한 편이야?	stock_analysis
에스엠 인수 이슈 지난 뒤에 본업 기준 가치가 어느 정도야?	stock_analysis
HD현대일렉트릭 최근 급등했는데 더 들고 가도 될까?	stock_analysis
